,Q2,Q3,Q4,Q5,Q6,Q6_22_TEXT,Q7,Q8,Q8_6_TEXT,Q9,Q10,Q11,Q11_7_TEXT,Q12,Q12_4_TEXT,Q13,Q13_6_TEXT,Q14,Q14_8_TEXT,Q15
0,2,1,4,3,18,,climate change,1,,2,1,1,,1,,1,,5,,
1,3,3,4,2,18,,immigration,1,,3,3,2,,1,,7,,6,,Biden or Warren
2,2,3,4,2,18,,Climate change ,1,,6,2,1,,1,,7,,6,,
3,2,1,2,3,23,,Immigration ,8,,6,2,2,,1,,6,Catholic,3,,No
4,1,1,1,2,23,,Environment Preservation,7,,6,4,2,,2,,7,,4,,
5,3,2,4,2,10,,Positive Freedom,1,,8,4,2,,2,,7,,6,,
6,2,1,4,2,18,,Climate change,1,,5,3,1,,1,,7,,6,,
7,3,2,4,3,10,,Foreign Policy,7,,2,2,2,,2,,3,,5,,
8,1,1,1,2,23,,Universal healthcare,1,,3,1,1,,1,,1,,4,,None
9,4,1,4,3,2,,Foreign Affairs,1,,4,4,2,,2,,1,,3,,
10,1,1,2,3,23,,,8,,3,4,7,Film,1,,7,,4,,
11,4,4,3,2,10,,Climate Change,1,,2,1,2,,1,,1,,5,,
12,3,2,4,2,18,,Race inequality and gender,7,,6,3,2,,4,Gender non-conforming,7,,6,,
13,4,1,3,3,18,,Institutional racism ,1,,6,3,2,,5,,5,,4,,
14,2,2,4,3,21,,Any form of discrimination,1,,6,2,5,,1,,7,,4,,Reactions to media
15,2,1,2,3,23,,,7,,8,4,2,,2,,7,,4,,
16,1,1,3,2,23,,Gsi salary,7,,5,4,2,,2,,1,,4,,
17,1,1,2,2,21,,Human rights ,1,,7,4,5,,2,,4,,4,,
18,4,3,4,2,6,,Immigration,7,,3,1,4,,1,,7,,3,,I wish voters were ready for radical change
19,2,1,3,3,23,,Global climate change,8,,3,1,4,,1,,6,Catholic,4,,
20,1,1,1,3,23,,,1,,1,4,5,,1,,1,,6,,
21,1,1,3,3,18,,Gender rights,1,,3,1,6,,1,,1,,4,,Na
22,1,1,2,2,23,,,7,,1,4,3,,1,,7,,4,,
23,2,1,4,3,10,,Green economy,1,,8,1,3,,2,,7,,6,,
24,3,1,4,3,21,,Environmental,8,,9,4,2,,1,,7,,4,,I’m not from the US however I still try to stay up to date with everything 
25,1,1,4,2,8,,Human Rights,7,,7,2,5,,2,,1,,4,,I don’t know 
26,2,2,4,3,6,,Education equity,1,,5,3,5,,1,,6,Atheist,6,,I wish the timeline was reduced. Too much money is spent on campaigning. 
27,2,1,4,1,21,,Labour,8,,5,1,4,,2,,7,,4,,
28,2,1,2,3,10,,Healthcare,1,,3,4,1,,2,,7,,4,,
29,2,3,4,2,23,,Energy ,1,,1,1,4,,2,,6,Catholic,3,,
30,2,1,3,3,10,,Immigration,1,,2,4,5,,2,,5,,4,,
31,4,1,2,2,18,,Economy ,7,,7,2,4,,1,,4,,4,,
32,2,,4,3,2,,Homelessness,1,,8,1,5,,2,,7,,4,,
33,3,1,4,1,21,,The environment and growth,7,,3,4,2,,2,,7,,7,,
34,2,2,4,3,21,,Political economic reform,1,,4,3,2,,2,,7,,6,,Nope
35,3,4,2,2,2,,"openness, health care, education",1,,5,4,1,,1,,7,,4,,The climate is dramatic changing right now
36,4,3,4,3,18,,immigration,1,,9,1,1,,1,,2,,6,,
37,1,1,4,1,21,,gun violence,8,,2,1,3,,1,,1,,4,,
