Q6_22_TEXT,Q8_6_TEXT,Q11_7_TEXT,Q12_4_TEXT,Q13_6_TEXT,Q14_8_TEXT,Q7,Q15
nan,nan,nan,nan,nan,nan,climate change,
nan,nan,nan,nan,nan,nan,immigration,Biden or Warren
nan,nan,nan,nan,nan,nan,Climate change ,
nan,nan,nan,nan,Catholic,nan,Immigration ,No
nan,nan,nan,nan,nan,nan,Environment Preservation,
nan,nan,nan,nan,nan,nan,Positive Freedom,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Foreign Policy,
nan,nan,nan,nan,nan,nan,Universal healthcare,None
nan,nan,nan,nan,nan,nan,Foreign Affairs,
nan,nan,Film,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Climate Change,
nan,nan,nan,Gender non-conforming,nan,nan,Race inequality and gender,
nan,nan,nan,nan,nan,nan,Institutional racism ,
nan,nan,nan,nan,nan,nan,Any form of discrimination,Reactions to media
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Gsi salary,
nan,nan,nan,nan,nan,nan,Human rights ,
nan,nan,nan,nan,nan,nan,Immigration,I wish voters were ready for radical change
nan,nan,nan,nan,Catholic,nan,Global climate change,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Gender rights,Na
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Green economy,
nan,nan,nan,nan,nan,nan,Environmental,I’m not from the US however I still try to stay up to date with everything 
nan,nan,nan,nan,nan,nan,Human Rights,I don’t know 
nan,nan,nan,nan,Atheist,nan,Education equity,I wish the timeline was reduced. Too much money is spent on campaigning. 
nan,nan,nan,nan,nan,nan,Labour,
nan,nan,nan,nan,nan,nan,Healthcare,
nan,nan,nan,nan,Catholic,nan,Energy ,
nan,nan,nan,nan,nan,nan,Immigration,
nan,nan,nan,nan,nan,nan,Economy ,
nan,nan,nan,nan,nan,nan,Homelessness,
nan,nan,nan,nan,nan,nan,The environment and growth,
nan,nan,nan,nan,nan,nan,Political economic reform,Nope
nan,nan,nan,nan,nan,nan,"openness, health care, education",The climate is dramatic changing right now
nan,nan,nan,nan,nan,nan,immigration,
nan,nan,nan,nan,nan,nan,gun violence,
nan,nan,nan,nan,nan,nan,Climate change,revolution
nan,nan,nan,nan,nan,nan,visa for foreigners,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,North Korea issue,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Police violence!,
nan,nan,nan,nan,nan,nan,Climate change / international relations,
nan,nan,nan,nan,nan,nan,The border ,
nan,nan,nan,nan,nan,nan,Immigration ,It’s gonna be a nightmare 
nan,nan,nan,nan,nan,nan,Economy,
nan,nan,nan,nan,nan,nan,immigration,No 
nan,nan,nan,nan,nan,nan,Student Loans,
nan,nan,nan,nan,nan,nan,healthcare,i'm less educated about it than i should be
nan,nan,COMPUTER SCIENCE,nan,nan,nan,CLIMATE CHANGE,MY OPINIONS ARE STILL SUBJECT TO CHANGE (I'M NOT SET ON A SINGLE CANDIDATE)
nan,nan,nan,nan,nan,nan,Corruption,
nan,nan,nan,nan,nan,nan,Climate Change,
nan,nan,nan,nan,nan,nan,ABORTION RIGHTS,#yanggang
nan,nan,nan,nan,Catholic,nan,maintaining human rights,
nan,nan,nan,nan,nan,nan,Abortion,
nan,nan,nan,nan,nan,nan,Climate change,I’m excited to spend more time delving into the election
nan,nan,nan,nan,nan,nan,Gun Control,Feel the Bern
nan,nan,nan,nan,nan,nan,Mass incarceration ,Please don’t let trump win. 
nan,nan,nan,nan,nan,nan,Human rights,The Democratic Party is so divided which only adds to my anxiety regarding the 2020 election.
nan,nan,nan,nan,nan,nan,Wealth inequality,
nan,nan,nan,nan,nan,nan,Ensuring a baseline of no discrimination within the system. ,Hopefully it goes well!
nan,nan,nan,nan,nan,nan,Student loans ,
nan,nan,nan,nan,nan,nan,Immigration and gender representation,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Not sure,Na
nan,nan,nan,nan,nan,nan,nan,Not Trump
nan,nan,nan,nan,nan,nan,climate,
nan,nan,nan,nan,nan,nan,Dismantling capitalism,feeling the bern
nan,nan,nan,nan,nan,nan,Environmental justice/ Climate change action ,"The level of debate on core issues to our future such as climate change, social justice, and governmental reform are really falling flat and I’m disappointed that more candidates are not taking this seriously "
nan,nan,nan,nan,nan,nan,Medical care,
nan,nan,nan,nan,nan,nan,"Sustainable energy transition, international relations and cooperation",I have actually talked about the presidential election frequently with friends and family but I could not go back and change my answers. 
nan,nan,nan,nan,nan,nan,LGBT rights,No
nan,nan,nan,nan,nan,nan,Economic policy ,
nan,nan,nan,nan,nan,nan,Anti interventionism,Tulsi/ Bernie or bust. The rest are all corporately controlled warmongerers
nan,nan,nan,nan,nan,nan,Education,Not sure
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Science and technology ,N/a
nan,nan,nan,nan,nan,nan,Indigenous rights ,They are all serving this white supremacist nation 
nan,nan,nan,nan,nan,nan,Homelessness,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Immigration issue ,
nan,nan,nan,nan,nan,Native pacific islander,Access for marginalized groups ,
nan,nan,nan,nan,nan,nan,Freedom and Democracy ,
nan,nan,nan,nan,nan,nan,Impose,
nan,nan,nan,nan,nan,nan,Easier Immigration,
nan,nan,nan,nan,nan,nan,Immigration camps,
nan,nan,nan,nan,nan,nan,Abolishing capitalism,
nan,nan,nan,nan,nan,nan,Environmental Issues ,
nan,nan,nan,nan,nan,nan,Climate change,
nan,No party preference ,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Peace,No
nan,nan,nan,nan,nan,nan,Climate change!,
nan,nan,nan,nan,nan,nan,Foreign policy,
nan,nan,nan,nan,nan,nan,International relations ,
nan,nan,nan,nan,nan,nan,"Values, healthcare",
nan,nan,nan,nan,nan,nan,"gun control, universal healthcare, equal rights",
nan,nan,nan,nan,nan,nan,Getting money out of politics,Beat trump
nan,nan,nan,nan,Cathlic,nan,Equality,
nan,nan,nan,nan,nan,nan,Taxes,
nan,nan,nan,nan,nan,nan,Immigration,Theyre all sell outs
nan,nan,nan,nan,nan,nan,"Low taxes, gender equality, climate change",It is a shame UC Berkeley is so politizised
nan,nan,nan,nan,nan,nan,Climate Change,I seriously hope trump loses 
nan,nan,nan,nan,nan,nan,Trade war,
nan,nan,nan,nan,nan,nan,Inequality,
nan,nan,nan,nan,nan,nan,campaign finance,
nan,nan,nan,nan,catholic,nan,equal rights ,
nan,nan,nan,nan,nan,nan,economy,
nan,nan,nan,nan,nan,nan,"Trade War, Economy, Taxation ",
nan,nan,nan,nan,nan,nan,social issues abortion rights,
nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,Foreign Policy  ,
nan,nan,nan,nan,nan,nan,War,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Gender,
nan,nan,nan,nan,nan,nan,nan,
nan,I’m nonpartisan ,nan,nan,nan,nan,Higher Education and debt,
nan,nan,nan,nan,nan,nan,Economy,"If the economic numbers stay good, Trump takes it."
nan,nan,nan,nan,nan,nan,wealth inequalty,
nan,nan,nan,nan,nan,nan,Climate change,
nan,nan,nan,nan,nan,nan,Climate Change,Primary objective is to make sure Trump does not win again
nan,nan,nan,nan,nan,nan,healthcare policy,
nan,nan,nan,nan,nan,nan,income/wealth inequality,
nan,nan,nan,nan,nan,nan,international relations,
nan,nan,nan,nan,nan,nan,student visa ,Fuck liberals
nan,nan,nan,nan,nan,nan,Abortion,no
nan,nan,nan,nan,nan,nan,improved living conditions for homeless and better mental health programs,
